series,name,artist,youtube_id,year,difficulty
,,,ZixBXnS7Gig,0,1
,,,7oY3cqIi8Fs,0,1
,,,F_MQjophp_k,0,1
,,,LVFk2u6b5ZY,0,1
,,,uzlyGxDx8Ck,0,1
,,,FtYRMGnj-_A,0,1
,,,WPnkB_cKKi8,0,1
,,,FFdSrgB7lqw,0,1
,,,SVsrX3LiXNY,0,1
,,,49AySiJkiw0,0,1
,,,Q_o_vdP9DiA,0,1
,,,azEOeTX1LqM,0,1
,,,7B8HF9SE6AI,0,1
,,,,0,1
,,,I5ysZVWmSgU,0,1
,,,1lmfjeLwHrU,0,1
,,,nDMIuuO_PQo,0,1
,,,hYL_y4U4pxM,0,1
,,,JS70MFXbYEc,0,1
,,,9tEhpdMixYI,0,1
,,,YDB4xiA4dbc,0,1
,,,t6nuKOMDkV0,0,1
,,,o4Qo_b-DjGE,0,1
,,,Pfb4MUUOe2Y,0,1
,,,6ZL_LlRMRfo,0,1
,,,_9dYvfao6WY,0,1
,,,lshzQJ1YAzU,0,1
,,,GIgLqN_rAXU,0,1
,,,GIgLqN_rAXU,2007,1
,,,gpH_PIqT-q8,0,1
,,,95bvERjiieU,0,1
,,,kilo6iqi6Pg,0,1
,,,izpNuTxGIrM,0,1
,,,,0,1
,,,Z4COQJuo7XU,0,1
,,,8sKX3tWaOew,0,1
,,,vzyHxYxc-Mo,0,1
,,,0CPJ-AbCsT8,0,1
,,,AepyGm9Me6w,0,1
,,,gsJ4pALlbEM,0,1
,,,WSI4lgekVOM,0,1
,,,Tlh0GopyniE,0,1
,,,RDLBIgXhiOpeQ,0,1
,,,O0nqwgu_Us4,0,1
,,,,0,1
,,,UAO2JBjRRBk,0,1
,,,Dp2EfS8FpUI,0,1
,,,I6Y7Dqzu990,0,1
,,,EGbg7-LBWak,0,1
,,,5_shStxQub0,0,1
,,,PtJ6yAGjsIs,0,1
,,,02xAtCSrtHA,0,1
,,,RD6AD2OA1EYbk,0,1
,,,W4VTq0sa9yg,0,1
,,,6AD2OA1EYbk,0,1
,,,,2010,3
,,,,1999,1
,,,,1996,1
,,,4yMX84KyfKM,2007,1
,,,5-xnvdtuRRo,1990,1
,European Version,,IF7g1mWOpUA,2012,2
,How Soon Is Now,530,9FDl2ylXLko,1984,1
,I'm Coming Clean,533,z3d_KGu5q-c,0,1
,Little Boxes,532,yZnx-VbQ2bk,2012,5
,Singapour Version,,,2012,4
,Teardrop,157,pRXCo6IjXqk,2012,4
,Who Are You,531,,1978,1
