title,title_fr
24,24 heure Chrono
7th Heaven,
Airworlf,Supercopter
Angel,Angel
Battlestar Galactica,
Baywatch,Alerte à Malibu
Breaking Bad,
Buffy,
CSI Las Vegas,
Charmed,
Coeur Caraïbes,Coeur Caraïbes
Criminial Minds,Esprits Criminels
Dallas,
Dawson's Creek,
Desperate Housewives,
Dexter,
Diff'rent Strokes,
Dr. House,
ER,Urgences
Flipper,Flipper
GTA San Andreas,
Ghost Whisperer,
Grey's Anatomy,
Hannah Montana,Hannah Montana
Hawaii Five 0,
Hercules: The Legendary Journeys theme,
Kim Possible,Kim Possible
Law & Order,New York Unité Spéciale
MacGyver,
Magnum,
Marimar,Marimar
My Wife And Kids,Ma Famille D'abord
NCIS,
Narcos,
Newport Beach,
One Tree Hill,Les Frères Scott
Pacific Blue,Pacific Blue
Pretty Little Liars,
Prison Break,Prison Break
Santa Barbara,Santa Banbara
Sex Education,
Six Feet Under,
Smallville,Smallville
Sonny,Sonny
Starsky and Hutch,Starsky et Hutch
Supernatural,
That's So Raven,Phénomène Raven
The 100,
The A-Team,
The Crow: Stairway To Heaven,The Crow
The Highlander,The Highlander
The Mentalist,Le Mentaliste
The Shield,The Shield
The Six Million Dollar Man,L'homme qui valait trois milliard
The Suite Life of Zack & Cody,La Vie de palace de Zack et Cody
The Walking Dead,
Two And A Half Men,Mon Oncle Charlie
Ugly Betty,Ugly Betty
Veronica Mars,Veronica Mars
"Walker, Texas Ranger","Walker, Texas Ranger"
Weeds,
Wizards Of Waverly Place,Les Sorciers de Waverly Place
Wizards of Waverly Place,Les Sorciers de Waverly Place
X Files,
Xena Warrior Princess,Xena La Princesse Guerrière
